value,type,first_seen,last_seen,status,confidence,n_sources,stories
64.94.84.97,ipv4,2026-06-06,2026-06-06,expired,reported,1,unc3753-luna-moth-targets-us-law-firms-with-vishing-physical-off
66.42.99.200,ipv4,2026-06-09,2026-06-09,expired,reported,1,cisa-orders-feds-to-patch-check-point-vpn-zero-day-by-june-11-qi
7.0.0.1,ipv4,2026-07-28,2026-07-28,active,reported,1,cisa-adds-two-exploited-vulnerabilities-to-kev-arista-velocloud
7.2.3.1,ipv4,2026-07-31,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
7.2.3.2,ipv4,2026-07-31,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
8.0.5.1,ipv4,2026-07-31,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
8.1.3.1,ipv4,2026-07-31,2026-08-04,active,reported,1,ruby-on-rails-active-storage-flaw-cve-2026-66066-cvss-9-5-unauth
84.32.102.230,ipv4,2026-07-31,2026-07-31,active,reported,1,adform-ad-network-compromised-to-swap-crypto-wallet-addresses-in
85.11.187.8,ipv4,2026-06-20,2026-06-20,expired,reported,1,fortibleed-unit-42-publishes-independent-analysis-initial-access
91.208.197.87,ipv4,2026-05-25,2026-05-25,expired,reported,1,storm-2949-attack-chain-fully-documented-azure-rbac-abuse-key-va
91.92.243.79,ipv4,2026-06-03,2026-06-03,expired,reported,1,js-monoglyphrat-new-javascript-backdoor-via-fake-purchase-orders
node.js,domain,2026-05-04,2026-07-30,revoked,corroborated,16,chollima-dprk-abuses-packagist-blockchain-dead-drop-loader-targe;fake-it-support-calls-on-microsoft-teams-deliver-etherrat-malwar;hollowbyte-openssl-dos-with-11-byte-payload-silently-fixed;hollowbyte-openssl-silent-memory-exhaustion-dos-11-byte-trigger;lazarus-group-npm-brandjacking-campaign-dozens-of-malicious-pack;microsoftsystem64-npm-supply-chain-attack-abuses-huggingface-for;next-js-critical-vulnerability-cluster-middleware-auth-bypasses;node-js-fixes-11-security-flaws-across-active-release-lines;perplexity-ai-impersonation-chromium-extension-intercepts-and-lo;sandboxjs-sandbox-escape-cvss-10-0-breakout-grants-full-host-rce;sap-july-2026-security-updates-critical-flaws-in-netweaver-appro;sap-npm-supply-chain-attack-mini-shai-hulud-new-details-on-self;seedworm-muddywater-expands-global-espionage-abuses-signed-forte;seo-poisoning-campaign-impersonates-gemini-cli-and-claude-code-f;triple-npm-supply-chain-onslaught-ironworm-phantom-gyp-miasma-an;vm2-sandbox-escape-cve-2026-26956-webassembly-exception-handling
